cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
omit_DP3,Q0155,0.12956647479975522,alert,15609999999.999998,alert,4
omit_DP3,Q0096,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0092,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0089,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0078,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0177,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0074,0.32154289716587525,alert,37820000000.0,alert,1
omit_DP3,Q0147,0.32154289716587525,alert,15599999999.999998,alert,1
omit_DP3,Q0172,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0130,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0072,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0136,0.32154289716587525,alert,20.933868271735932,alert,1
omit_DP3,Q0115,0.31081312631338465,alert,17.55933159235423,alert,1
omit_DP3,Q0065,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0178,0.12956647479975522,alert,9.29570397480935,alert,2
omit_DP3,Q0167,0.32154289716587525,alert,20.707602168924655,alert,2
omit_DP3,Q0088,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0090,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0125,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0138,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0163,0.1427349636447312,alert,11.119254310907403,alert,3
omit_DP3,Q0132,,no_data,15.8747199372533,alert,0
omit_DP3,Q0086,0.12956647479975522,alert,15640000000.0,alert,4
omit_DP3,Q0152,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0144,0.32154289716587525,alert,20.707602168924655,alert,2
omit_DP3,Q0150,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0168,0.12956647479975522,alert,15660000000.0,alert,4
omit_DP3,Q0114,0.32154289716587525,alert,6509999999.999999,alert,1
omit_DP3,Q0174,0.13959308674408222,alert,8.963197614760698,alert,3
omit_DP3,Q0118,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0166,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0176,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0061,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0081,0.12956647479975522,alert,15630000000.0,alert,4
omit_DP3,Q0165,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0104,0.13959308674408222,alert,8.963197614760698,alert,3
omit_DP3,Q0146,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0080,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0161,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0180,0.13959308674408222,alert,8.963197614760698,alert,3
omit_DP3,Q0171,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0162,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0109,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0073,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0106,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0105,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0094,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0066,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0119,0.13959308674408222,alert,8.963197614760698,alert,3
omit_DP3,Q0076,0.12956647479975522,alert,8.225782249163373,alert,4
